한자,음,훈,전체,훈음,구분
宅 ,택,집,宅 (집 택),집 택,중
擇 ,택,가릴,擇 (가릴 택),가릴 택,고
討,토,칠,討 (칠 토),칠 토,고
吐 ,토,토할,吐 (토할 토),토할 토,고
土 ,토,흙,土 (흙 토),흙 토,중
通,통,통할,通 (통할 통),통할 통,중
痛 ,통,아플,痛 (아플 통),아플 통,고
統 ,통,큰 줄기,統 (큰 줄기 통),큰 줄기 통,중
退 ,퇴,물러날,退 (물러날 퇴),물러날 퇴,중
鬪,투,싸움,鬪 (싸움 투),싸움 투,고
投 ,투,던질,投 (던질 투),던질 투,중
透 ,투,통할,透 (통할 투),통할 투,고
特 ,특,수컷,特 (수컷 특),수컷 특,중
破,파,깨뜨릴,破 (깨뜨릴 파),깨뜨릴 파,중
派,파,물 갈래,派 (물 갈래 파),물 갈래 파,고
罷,파,방면할,罷 (방면할 파),방면할 파,고
播,파,뿌릴,播 (뿌릴 파),뿌릴 파,고
頗,파,자못,頗 (자못 파),자못 파,고
波 ,파,물결,波 (물결 파),물결 파,중
把 ,파,잡을,把 (잡을 파),잡을 파,고
版,판,판목,版 (판목 판),판목 판,고
販,판,팔,販 (팔 판),팔 판,고
板 ,판,널빤지,板 (널빤지 판),널빤지 판,고
判 ,판,판가름할,判 (판가름할 판),판가름할 판,중
八 ,팔,여덟,八 (여덟 팔),여덟 팔,중
貝,패,조개,貝 (조개 패),조개 패,중
敗 ,패,패할,敗 (패할 패),패할 패,중
遍,편,두루,遍 (두루 편),두루 편,고
編,편,엮을,編 (엮을 편),엮을 편,고
片,편,조각,片 (조각 편),조각 편,중
篇,편,책,篇 (책 편),책 편,중
偏 ,편,치우칠,偏 (치우칠 편),치우칠 편,고
便 ,편,편할,便 (편할 편),편할 편,중
評 ,평,평론할,評 (평론할 평),평론할 평,고
平 ,평,평평할,平 (평평할 평),평평할 평,중
蔽,폐,덮을,蔽 (덮을 폐),덮을 폐,고
弊,폐,폐단,弊 (폐단 폐),폐단 폐,고
廢,폐,폐할,廢 (폐할 폐),폐할 폐,고
肺,폐,허파,肺 (허파 폐),허파 폐,고
閉 ,폐,닫을,閉 (닫을 폐),닫을 폐,중
幣 ,폐,비단,幣 (비단 폐),비단 폐,고
浦,포,물가,浦 (물가 포),물가 포,고
飽,포,배부를,飽 (배부를 포),배부를 포,고
捕,포,사로잡을,捕 (사로잡을 포),사로잡을 포,고
抱,포,안을,抱 (안을 포),안을 포,중
胞,포,태보,胞 (태보 포),태보 포,고
布 ,포,베,布 (베 포),베 포,중
包 ,포,쌀,包 (쌀 포),쌀 포,고
爆,폭,터질,爆 (터질 폭),터질 폭,고
幅 ,폭,너비,幅 (너비 폭),너비 폭,고
暴 ,폭,사나울,暴 (사나울 폭),사나울 폭,중
漂,표,떠돌,漂 (떠돌 표),떠돌 표,고
票,표,표,票 (표 표),표 표,고
表 ,표,겉,表 (겉 표),겉 표,중
標 ,표,표,標 (표 표),표 표,고
品 ,품,물건,品 (물건 품),물건 품,중
風,풍,바람,風 (바람 풍),바람 풍,중
豐 ,풍,풍년,豐 (풍년 풍),풍년 풍,중
皮,피,가죽,皮 (가죽 피),가죽 피,중
被,피,이불,被 (이불 피),이불 피,고
避,피,피할,避 (피할 피),피할 피,고
彼 ,피,저,彼 (저 피),저 피,중
疲 ,피,지칠,疲 (지칠 피),지칠 피,고
必,필,반드시,必 (반드시 필),반드시 필,중
筆,필,붓,筆 (붓 필),붓 필,중
畢 ,필,마칠,畢 (마칠 필),마칠 필,고
匹 ,필,짝,匹 (짝 필),짝 필,중
河,하,물,河 (물 하),물 하,중
何,하,어찌,何 (어찌 하),어찌 하,중
夏,하,여름,夏 (여름 하),여름 하,중
賀,하,하례,賀 (하례 하),하례 하,중
下 ,하,아래,下 (아래 하),아래 하,중
荷 ,하,연,荷 (연 하),연 하,고
學 ,학,배울,學 (배울 학),배울 학,중
鶴 ,학,학,鶴 (학 학),학 학,고
韓,한,나라 이름,韓 (나라 이름 한),나라 이름 한,중
汗,한,땀,汗 (땀 한),땀 한,고
閑,한,막을,閑 (막을 한),막을 한,중
限,한,한계,限 (한계 한),한계 한,중
漢,한,한수,漢 (한수 한),한수 한,중
恨,한,한할,恨 (한할 한),한할 한,중
旱 ,한,가물,旱 (가물 한),가물 한,고
寒 ,한,찰,寒 (찰 한),찰 한,중
割 ,할,나눌,割 (나눌 할),나눌 할,고
咸,함,다,咸 (다 함),다 함,고
陷,함,빠질,陷 (빠질 함),빠질 함,고
含 ,함,머금을,含 (머금을 함),머금을 함,고
合 ,합,합할,合 (합할 합),합할 합,중
抗,항,막을,抗 (막을 항),막을 항,고
項,항,목,項 (목 항),목 항,고
航,항,배,航 (배 항),배 항,고
港,항,항구,港 (항구 항),항구 항,고
巷 ,항,거리,巷 (거리 항),거리 항,고
恒 ,항,항상,恒 (항상 항),항상 항,중
該,해,그,該 (그 해),그 해,고
海,해,바다,海 (바다 해),바다 해,중
解,해,풀,解 (풀 해),풀 해,중
害,해,해칠,害 (해칠 해),해칠 해,중
亥 ,해,돼지,亥 (돼지 해),돼지 해,중
奚 ,해,어찌,奚 (어찌 해),어찌 해,고
核 ,핵,씨,核 (씨 핵),씨 핵,고
行,행,다닐,行 (다닐 행),다닐 행,중
幸 ,행,다행,幸 (다행 행),다행 행,중
鄕,향,시골,鄕 (시골 향),시골 향,중
響,향,울림,響 (울림 향),울림 향,고
香,향,향기,香 (향기 향),향기 향,중
享 ,향,누릴,享 (누릴 향),누릴 향,고
向 ,향,향할,向 (향할 향),향할 향,중
許,허,허락할,許 (허락할 허),허락할 허,중
虛 ,허,빌,虛 (빌 허),빌 허,중
獻,헌,바칠,獻 (바칠 헌),바칠 헌,고
軒,헌,추녀,軒 (추녀 헌),추녀 헌,고
憲 ,헌,법,憲 (법 헌),법 헌,고
驗,험,시험할,驗 (시험할 험),시험할 험,고
險 ,험,험할,險 (험할 험),험할 험,고
革 ,혁,가죽,革 (가죽 혁),가죽 혁,중
玄,현,검을,玄 (검을 현),검을 현,고
縣,현,고을,縣 (고을 현),고을 현,고
絃,현,악기 줄,絃 (악기 줄 현),악기 줄 현,고
賢,현,어질,賢 (어질 현),어질 현,중
顯,현,나타날,顯(나타날 현),나타날 현,고
現 ,현,나타날,現 (나타날 현),나타날 현,중
懸 ,현,매달,懸 (매달 현),매달 현,고
穴 ,혈,구멍,穴 (구멍 혈),구멍 혈,고
血 ,혈,피,血 (피 혈),피 혈,중
嫌 ,혐,싫어할,嫌 (싫어할 혐),싫어할 혐,고
脅 ,협,옆구리,脅 (옆구리 협),옆구리 협,고
協 ,협,화할,協 (화할 협),화할 협,중
形,형,모양,形 (모양 형),모양 형,중
螢,형,반디,螢 (반디 형),반디 형,고
衡,형,저울대,衡 (저울대 형),저울대 형,고
刑,형,형벌,刑 (형벌 형),형벌 형,중
兄 ,형,맏,兄 (맏 형),맏 형,중
亨 ,형,형통할,亨 (형통할 형),형통할 형,고
慧,혜,슬기로울,慧 (슬기로울 혜),슬기로울 혜,고
兮 ,혜,어조사,兮 (어조사 혜),어조사 혜,고
惠 ,혜,은혜,惠 (은혜 혜),은혜 혜,중
毫,호,가는 털,毫 (가는 털 호),가는 털 호,고
虎,호,범,虎 (범 호),범 호,중
號,호,부르짖을,號 (부르짖을 호),부르짖을 호,중
呼,호,부를,呼 (부를 호),부를 호,중
胡,호,오랑캐,胡 (오랑캐 호),오랑캐 호,고
好,호,좋을,好 (좋을 호),좋을 호,중
戶,호,지게,戶 (지게 호),지게 호,중
浩,호,클,浩 (클 호),클 호,고
豪,호,호걸,豪 (호걸 호),호걸 호,고
護,호,보호할,護(보호할 호),보호할 호,고
湖,호,호수,湖(호수 호),호수 호,중
互 ,호,서로,互 (서로 호),서로 호,고
乎 ,호,어조사,乎 (어조사 호),어조사 호,중
惑 ,혹,미혹할,惑 (미혹할 혹),미혹할 혹,고
或 ,혹,혹,或 (혹 혹),혹 혹,중
魂,혼,넋,魂 (넋 혼),넋 혼,고
混,혼,섞을,混 (섞을 혼),섞을 혼,중
昏 ,혼,어두울,昏 (어두울 혼),어두울 혼,고
婚 ,혼,혼인할,婚 (혼인할 혼),혼인할 혼,중
忽 ,홀,소홀히 할,忽 (소홀히 할 홀),소홀히 할 홀,고
鴻,홍,큰 기러기,鴻 (큰 기러기 홍),큰 기러기 홍,고
洪,홍,큰물,洪 (큰물 홍),큰물 홍,고
弘 ,홍,넓을,弘 (넓을 홍),넓을 홍,고
紅 ,홍,붉을,紅 (붉을 홍),붉을 홍,중
畫,화,그림,畫 (그림 화),그림 화,중
花,화,꽃,花 (꽃 화),꽃 화,중
話,화,말할,話 (말할 화),말할 화,중
禾,화,벼,禾 (벼 화),벼 화,고
火,화,불,火 (불 화),불 화,중
華,화,빛날,華 (빛날 화),빛날 화,중
貨,화,재화,貨 (재화 화),재화 화,중
和,화,화할,和 (화할 화),화할 화,중
化 ,화,될,化 (될 화),될 화,중
禍 ,화,재앙,禍 (재앙 화),재앙 화,고
確,확,굳을,確 (굳을 확),굳을 확,고
穫,확,벼 벨,穫 (벼 벨 확),벼 벨 확,고
擴 ,확,넓힐,擴 (넓힐 확),넓힐 확,고
環,환,고리,環 (고리 환),고리 환,고
歡,환,기뻐할,歡 (기뻐할 환),기뻐할 환,중
還,환,돌아올,還 (돌아올 환),돌아올 환,고
換,환,바꿀,換 (바꿀 환),바꿀 환,고
患 ,환,근심,患 (근심 환),근심 환,중
丸 ,환,알,丸 (알 환),알 환,고
活 ,활,살,活 (살 활),살 활,중
荒,황,거칠,荒 (거칠 황),거칠 황,고
黃,황,누를,黃 (누를 황),누를 황,중
皇 ,황,임금,皇 (임금 황),임금 황,중
況 ,황,하물며,況 (하물며 황),하물며 황,고
會,회,모일,會 (모일 회),모일 회,중
懷,회,품을,懷 (품을 회),품을 회,고
悔 ,회,뉘우칠,悔 (뉘우칠 회),뉘우칠 회,고
回 ,회,돌,回 (돌 회),돌 회,중
獲,획,얻을,獲 (얻을 획),얻을 획,고
劃 ,획,그을,劃 (그을 획),그을 획,고
橫 ,횡,가로,橫 (가로 횡),가로 횡,고
效,효,본받을,效 (본받을 효),본받을 효,중
曉 ,효,새벽,曉 (새벽 효),새벽 효,고
孝 ,효,효도,孝 (효도 효),효도 효,중
候,후,기후,候 (기후 후),기후 후,고
後,후,뒤,後 (뒤 후),뒤 후,중
厚 ,후,두터울,厚 (두터울 후),두터울 후,중
侯 ,후,제후,侯 (제후 후),제후 후,고
訓 ,훈,가르칠,訓 (가르칠 훈),가르칠 훈,중
毁 ,훼,헐,毁 (헐 훼),헐 훼,고
輝,휘,빛날,輝 (빛날 휘),빛날 휘,고
揮 ,휘,휘두를,揮 (휘두를 휘),휘두를 휘,고
携 ,휴,가질,携 (가질 휴),가질 휴,고
休 ,휴,쉴,休 (쉴 휴),쉴 휴,중
胸,흉,가슴,胸 (가슴 흉),가슴 흉,중
凶 ,흉,흉할,凶 (흉할 흉),흉할 흉,중
黑 ,흑,검을,黑 (검을 흑),검을 흑,중
吸 ,흡,숨 들이쉴,吸 (숨 들이쉴 흡),숨 들이쉴 흡,고
興 ,흥,일어날,興 (일어날 흥),일어날 흥,중
稀,희,드물,稀 (드물 희),드물 희,고
希,희,바랄,希 (바랄 희),바랄 희,중
喜 ,희,기쁠,喜 (기쁠 희),기쁠 희,중
戲 ,희,놀이,戲 (놀이 희),놀이 희,고
訣,결,이별할 ,訣 (이별할 결),이별할 결,기
筋,근,힘줄,筋 (힘줄 근),힘줄 근,기
汽,기,물끓는김,汽 (물끓는김 기),물끓는김 기,기
朗,랑,밝을,朗 (밝을 랑),밝을 랑,기
紋,문,무늬,紋 (무늬 문),무늬 문,기
森,삼,수풀 ,森 (수풀 삼),수풀 삼,기
阿,아,언덕,阿 (언덕 아),언덕 아,기
液,액,진 ,液 (진 액),진 액,기
曜,요,빛날,曜 (빛날 요),빛날 요,기
笛,적,피리,笛 (피리 적),피리 적,기
蹟,적,자취,蹟 (자취 적),자취 적,기
週,주,주일,週 (주일 주),주일 주,기
稚,치,어릴,稚 (어릴 치),어릴 치,기
兔,토,토끼,兔 (토끼 토),토끼 토,기
砲,포,대포,砲 (대포 포),대포 포,기
楓,풍,단풍,楓 (단풍 풍),단풍 풍,기
灰,회,재,灰 (재 회),재 회,기
